code,citystate,city,state
APA,"ARAPAHOE COUNTY, CO",ARAPAHOE COUNTY,CO
COS,"COLORADO SPRINGS, CO",COLORADO SPRINGS,CO
DEN,"DENVER, CO",DENVER,CO
DRO,"LA PLATA - DURANGO, CO",LA PLATA - DURANGO,CO
BDL,"BRADLEY INTERNATIONAL, CT",BRADLEY INTERNATIONAL,CT
BGC,"BRIDGEPORT, CT",BRIDGEPORT,CT
GRT,"GROTON, CT",GROTON,CT
HAR,"HARTFORD, CT",HARTFORD,CT
NWH,"NEW HAVEN, CT",NEW HAVEN,CT
NWL,"NEW LONDON, CT",NEW LONDON,CT
TST,"NEWINGTON DATA CENTER TEST, CT",NEWINGTON DATA CENTER TEST,CT
WAS,"WASHINGTON, DC",WASHINGTON,DC
DOV,"DOVER AFB, DE",DOVER AFB,DE
DVD,"DOVER-AFB, DE",DOVER-AFB,DE
WLL,"WILMINGTON, DE",WILMINGTON,DE
BOC,"BOCAGRANDE, FL",BOCAGRANDE,FL
SRQ,"BRADENTON - SARASOTA, FL",BRADENTON - SARASOTA,FL
CAN,"CAPE CANAVERAL, FL",CAPE CANAVERAL,FL
DAB,"DAYTONA BEACH INTERNATIONAL, FL",DAYTONA BEACH INTERNATIONAL,FL
FRN,"FERNANDINA, FL",FERNANDINA,FL
FTL,"FORT LAUDERDALE, FL",FORT LAUDERDALE,FL
FMY,"FORT MYERS, FL",FORT MYERS,FL
FPF,"FORT PIERCE, FL",FORT PIERCE,FL
HUR,"HURLBURT FIELD, FL",HURLBURT FIELD,FL
GNV,"J R ALISON MUNI - GAINESVILLE, FL",J R ALISON MUNI - GAINESVILLE,FL
JAC,"JACKSONVILLE, FL",JACKSONVILLE,FL
KEY,"KEY WEST, FL",KEY WEST,FL
LEE,"LEESBURG MUNICIPAL AIRPORT, FL",LEESBURG MUNICIPAL AIRPORT,FL
MLB,"MELBOURNE, FL",MELBOURNE,FL
MIA,"MIAMI, FL",MIAMI,FL
OPF,"OPA LOCKA, FL",OPA LOCKA,FL
ORL,"ORLANDO, FL",ORLANDO,FL
PAN,"PANAMA CITY, FL",PANAMA CITY,FL
PEN,"PENSACOLA, FL",PENSACOLA,FL
PCF,"PORT CANAVERAL, FL",PORT CANAVERAL,FL
PEV,"PORT EVERGLADES, FL",PORT EVERGLADES,FL
PSJ,"PORT ST JOE, FL",PORT ST JOE,FL
SFB,"SANFORD, FL",SANFORD,FL
SGJ,"ST AUGUSTINE ARPT, FL",ST AUGUSTINE ARPT,FL
SAU,"ST AUGUSTINE, FL",ST AUGUSTINE,FL
FPR,"ST LUCIE COUNTY, FL",ST LUCIE COUNTY,FL
SPE,"ST PETERSBURG, FL",ST PETERSBURG,FL
TAM,"TAMPA, FL",TAMPA,FL
WPB,"WEST PALM BEACH, FL",WEST PALM BEACH,FL
ATL,"ATLANTA, GA",ATLANTA,GA
BRU,"BRUNSWICK, GA",BRUNSWICK,GA
AGS,"BUSH FIELD - AUGUSTA, GA",BUSH FIELD - AUGUSTA,GA
SAV,"SAVANNAH, GA",SAVANNAH,GA
AGA,"AGANA, GU",AGANA,GU
HHW,"HONOLULU, HI",HONOLULU,HI
OGG,"KAHULUI - MAUI, HI",KAHULUI - MAUI,HI
KOA,"KEAHOLE-KONA, HI",KEAHOLE-KONA,HI
LIH,"LIHUE, HI",LIHUE,HI
CID,"CEDAR RAPIDS/IOWA CITY, IA",CEDAR RAPIDS/IOWA CITY,IA
DSM,"DES MOINES, IA",DES MOINES,IA
BOI,"AIR TERM. (GOWEN FLD) BOISE, ID",AIR TERM. (GOWEN FLD) BOISE,ID
EPI,"EASTPORT, ID",EASTPORT,ID
IDA,"FANNING FIELD - IDAHO FALLS, ID",FANNING FIELD - IDAHO FALLS,ID
PTL,"PORTHILL, ID",PORTHILL,ID
SPI,"CAPITAL - SPRINGFIELD, IL",CAPITAL - SPRINGFIELD,IL
CHI,"CHICAGO, IL",CHICAGO,IL
DPA,"DUPAGE COUNTY, IL",DUPAGE COUNTY,IL
